fault,sensor,window,sample_range,n_runs,pct_change_mean_avg,pct_change_mean_std,pct_change_abs_avg,mean_direction,mean_direction_consistency,std_ratio_avg,std_ratio_std,variance_increase_rate
1,xmeas_1,early,160-260,10,204.3376,5.2632,204.3376,increase,1.0,7.5993,0.9567,1.0
1,xmeas_1,late,300-960,10,204.6393,0.5438,204.6393,increase,1.0,1.5222,0.1536,1.0
1,xmeas_1,full,160-960,10,202.8642,0.546,202.8642,increase,1.0,3.0079,0.2187,1.0
1,xmeas_4,early,160-260,10,-6.0299,0.108,6.0299,decrease,1.0,5.0849,0.5494,1.0
1,xmeas_4,late,300-960,10,-5.905,0.013,5.905,decrease,1.0,1.6354,0.1748,1.0
1,xmeas_4,full,160-960,10,-5.8785,0.0054,5.8785,decrease,1.0,2.4862,0.1703,1.0
1,xmeas_7,early,160-260,10,0.992,0.0725,0.992,increase,1.0,9.406,3.6255,1.0
1,xmeas_7,late,300-960,10,-0.0976,0.008,0.0976,decrease,1.0,2.1048,0.3355,1.0
1,xmeas_7,full,160-960,10,0.1298,0.0211,0.1298,increase,1.0,3.9295,0.6003,1.0
1,xmeas_9,early,160-260,10,0.0016,0.0002,0.0016,increase,1.0,1.136,0.0427,1.0
1,xmeas_9,late,300-960,10,0.0002,0.0001,0.0002,increase,1.0,1.0209,0.013,1.0
1,xmeas_9,full,160-960,10,0.0,0.0001,0.0001,increase,0.5,1.042,0.0136,1.0
2,xmeas_1,early,160-260,10,6.1847,0.243,6.1847,increase,1.0,1.0088,0.1277,0.5
2,xmeas_1,late,300-960,10,12.8023,0.1698,12.8023,increase,1.0,0.9545,0.023,0.0
2,xmeas_1,full,160-960,10,12.3418,0.0777,12.3418,increase,1.0,0.9778,0.0382,0.5
2,xmeas_4,early,160-260,10,2.1537,0.012,2.1537,increase,1.0,1.6431,0.2654,1.0
2,xmeas_4,late,300-960,10,2.9311,0.0066,2.9311,increase,1.0,0.9872,0.0178,0.2
2,xmeas_4,full,160-960,10,2.8486,0.0039,2.8486,increase,1.0,1.1363,0.0563,1.0
2,xmeas_7,early,160-260,10,1.1404,0.0038,1.1404,increase,1.0,2.9436,0.9326,1.0
2,xmeas_7,late,300-960,10,-0.4137,0.0017,0.4137,decrease,1.0,1.0968,0.1514,0.7
2,xmeas_7,full,160-960,10,-0.163,0.0016,0.163,decrease,1.0,2.4877,0.4112,1.0
2,xmeas_9,early,160-260,10,0.0002,0.0003,0.0003,increase,0.5,0.9983,0.0235,0.5
2,xmeas_9,late,300-960,10,-0.0001,0.0001,0.0001,decrease,0.8,1.0051,0.0047,0.9
2,xmeas_9,full,160-960,10,0.0,0.0001,0.0001,increase,0.5,1.0039,0.0036,0.9
4,xmeas_21,early,160-260,10,-0.0003,0.0006,0.0005,decrease,0.6,0.9504,0.0603,0.2
4,xmeas_21,late,300-960,10,-0.0,0.0002,0.0001,decrease,0.7,0.9261,0.0153,0.0
4,xmeas_21,full,160-960,10,0.0,0.0001,0.0001,increase,0.6,0.9299,0.0211,0.0
4,xmeas_7,early,160-260,10,0.0005,0.0002,0.0005,increase,1.0,0.9989,0.0189,0.5
4,xmeas_7,late,300-960,10,0.0001,0.0001,0.0001,increase,1.0,0.9999,0.0006,0.4
4,xmeas_7,full,160-960,10,0.0,0.0001,0.0,increase,0.6,0.9996,0.0021,0.5
4,xmeas_9,early,160-260,10,0.0,0.0003,0.0002,increase,0.5,1.3628,0.1284,1.0
4,xmeas_9,late,300-960,10,-0.0,0.0001,0.0001,decrease,0.6,0.9276,0.0162,0.0
