fault,sensor,normal_mean,normal_std,fault_mean,fault_std,pct_change_mean,std_ratio
1,xmeas_1,0.2503,0.0332,0.7592,0.0926,203.25,2.79
1,xmeas_4,9.3519,0.0883,8.8023,0.2227,-5.88,2.52
1,xmeas_7,2703.5895,7.3121,2707.8667,30.6728,0.16,4.19
1,xmeas_9,120.3999,0.0189,120.4001,0.0198,0.0,1.05
2,xmeas_1,0.2503,0.0332,0.282,0.032,12.63,0.96
2,xmeas_4,9.3519,0.0883,9.6179,0.0933,2.84,1.06
2,xmeas_7,2703.5895,7.3121,2699.5923,19.05,-0.15,2.61
2,xmeas_9,120.3999,0.0189,120.4002,0.019,0.0,1.01
4,xmeas_9,120.3999,0.0189,120.4002,0.0192,0.0,1.02
4,xmeas_21,94.5916,0.1319,94.5882,0.1238,-0.0,0.94
4,xmeas_7,2703.5895,7.3121,2703.9946,7.2479,0.01,0.99
4,xmv_10,41.1206,0.5391,44.8944,0.5296,9.18,0.98
6,xmeas_1,0.2503,0.0332,0.0004,0.0108,-99.85,0.33
6,xmeas_4,9.3519,0.0883,9.5568,0.0785,2.19,0.89
6,xmeas_7,2703.5895,7.3121,2975.169,68.1123,10.05,9.32
6,xmeas_9,120.3999,0.0189,120.4083,0.0094,0.01,0.5
7,xmeas_4,9.3519,0.0883,9.3504,0.2533,-0.02,2.87
7,xmeas_7,2703.5895,7.3121,2704.1432,33.6372,0.02,4.6
7,xmeas_9,120.3999,0.0189,120.4001,0.0213,0.0,1.13
7,xmeas_6,42.3455,0.2237,42.3487,0.2821,0.01,1.26
8,xmeas_1,0.2503,0.0332,0.2708,0.2086,8.16,6.28
8,xmeas_4,9.3519,0.0883,9.277,0.4546,-0.8,5.15
8,xmeas_7,2703.5895,7.3121,2702.8966,61.05,-0.03,8.35
8,xmeas_9,120.3999,0.0189,120.3999,0.0243,0.0,1.29
11,xmeas_9,120.3999,0.0189,120.3997,0.0793,-0.0,4.2
11,xmeas_21,94.5916,0.1319,94.5882,0.1477,-0.0,1.12
11,xmeas_7,2703.5895,7.3121,2704.0034,7.3234,0.02,1.0
11,xmv_10,41.1206,0.5391,41.1525,3.3084,0.08,6.14
12,xmeas_11,80.1551,0.2382,79.9974,1.9713,-0.2,8.27
12,xmeas_22,77.3198,0.2686,77.221,1.6957,-0.13,6.31
12,xmeas_12,50.0498,1.0307,50.053,1.1536,0.01,1.12
12,xmeas_13,2632.272,7.6886,2637.1255,74.7851,0.18,9.73
13,xmeas_9,120.3999,0.0189,120.4,0.0227,0.0,1.2
13,xmeas_7,2703.5895,7.3121,2710.6318,71.5358,0.26,9.78
13,xmeas_6,42.3455,0.2237,42.3534,0.294,0.02,1.31
13,xmeas_17,22.9752,0.6429,22.9793,0.6773,0.02,1.05
14,xmeas_9,120.3999,0.0189,120.4,0.2587,0.0,13.7
14,xmeas_7,2703.5895,7.3121,2703.9971,7.3167,0.02,1.0
14,xmeas_21,94.5916,0.1319,94.5899,1.4068,-0.0,10.66
