fault,sensor,t_statistic,p_value,significance
1,xmeas_1,-147.753,0.0,매우 유의함 (p<0.001)
1,xmeas_4,65.69,0.0,매우 유의함 (p<0.001)
1,xmeas_7,-3.856,0.000124,매우 유의함 (p<0.001)
1,xmeas_9,-0.175,0.861212,유의하지 않음
2,xmeas_1,-20.315,0.0,매우 유의함 (p<0.001)
2,xmeas_4,-61.032,0.0,매우 유의함 (p<0.001)
2,xmeas_7,5.604,0.0,매우 유의함 (p<0.001)
2,xmeas_9,-0.262,0.793653,유의하지 않음
4,xmeas_9,-0.246,0.805348,유의하지 않음
4,xmeas_21,0.561,0.575183,유의하지 않음
4,xmeas_7,-1.163,0.24483,유의하지 않음
4,xmv_10,-147.677,0.0,매우 유의함 (p<0.001)
6,xmeas_1,219.788,0.0,매우 유의함 (p<0.001)
6,xmeas_4,-51.507,0.0,매우 유의함 (p<0.001)
6,xmeas_7,-112.308,0.0,매우 유의함 (p<0.001)
6,xmeas_9,-12.044,0.0,매우 유의함 (p<0.001)
7,xmeas_4,0.168,0.866298,유의하지 않음
7,xmeas_7,-0.457,0.647808,유의하지 않음
7,xmeas_9,-0.167,0.867018,유의하지 않음
7,xmeas_6,-0.259,0.795659,유의하지 않음
8,xmeas_1,-2.744,0.006193,유의함 (p<0.05)
8,xmeas_4,4.593,5e-06,매우 유의함 (p<0.001)
8,xmeas_7,0.319,0.749588,유의하지 않음
8,xmeas_9,-0.0,0.999941,유의하지 않음
11,xmeas_9,0.078,0.937549,유의하지 않음
11,xmeas_21,0.506,0.613053,유의하지 않음
11,xmeas_7,-1.182,0.237442,유의하지 않음
11,xmv_10,-0.269,0.787652,유의하지 않음
12,xmeas_11,2.251,0.024679,유의함 (p<0.05)
12,xmeas_22,1.632,0.10308,유의하지 않음
12,xmeas_12,-0.062,0.950789,유의하지 않음
12,xmeas_13,-1.829,0.067806,유의하지 않음
13,xmeas_9,-0.112,0.911041,유의하지 않음
13,xmeas_7,-2.774,0.005662,유의함 (p<0.05)
13,xmeas_6,-0.626,0.531321,유의하지 않음
13,xmeas_17,-0.13,0.896955,유의하지 않음
14,xmeas_9,-0.008,0.993471,유의하지 않음
14,xmeas_7,-1.165,0.244352,유의하지 않음
14,xmeas_21,0.034,0.972807,유의하지 않음
