fault,sensor,window,sample_range,n_runs,pct_change_mean_avg,pct_change_mean_std,pct_change_abs_avg,pct_change_positive_rate,std_ratio_avg,std_ratio_std,std_ratio_gt_1_rate
2,xmeas_24,early,160-260,10,7.4,0.02,7.4,1.0,2.64,0.37,1.0
2,xmeas_24,full,160-960,10,1.57,0.01,1.57,1.0,2.53,0.1,1.0
2,xmeas_24,late,300-960,10,0.44,0.01,0.44,1.0,1.14,0.04,1.0
2,xmeas_30,early,160-260,10,6.99,0.02,6.99,1.0,3.59,0.34,1.0
2,xmeas_30,full,160-960,10,1.05,0.01,1.05,1.0,3.63,0.18,1.0
2,xmeas_30,late,300-960,10,-0.11,0.01,0.11,0.0,1.33,0.06,1.0
2,xmeas_35,early,160-260,10,-1.41,0.01,1.41,0.0,1.26,0.13,1.0
2,xmeas_35,full,160-960,10,4.18,0.01,4.18,1.0,2.03,0.16,1.0
2,xmeas_35,late,300-960,10,5.22,0.01,5.22,1.0,1.07,0.06,0.8
2,xmeas_40,early,160-260,10,0.03,0.0,0.03,1.0,1.0,0.01,0.4
2,xmeas_40,full,160-960,10,0.03,0.0,0.03,1.0,1.0,0.0,0.4
2,xmeas_40,late,300-960,10,0.03,0.0,0.03,1.0,1.0,0.0,0.5
