fault,sensor,n_runs,pct_change_mean_avg,pct_change_mean_std,std_ratio_avg,std_ratio_std
1,xmeas_1,10,202.71,0.39,3.06,0.21
1,xmeas_4,10,-5.88,0.01,2.5,0.18
1,xmeas_7,10,0.13,0.03,4.01,0.56
1,xmeas_9,10,0.0,0.0,1.03,0.02
2,xmeas_1,10,12.28,0.2,0.99,0.03
2,xmeas_4,10,2.85,0.01,1.14,0.05
2,xmeas_7,10,-0.16,0.01,2.54,0.38
2,xmeas_9,10,0.0,0.0,1.0,0.01
4,xmeas_9,10,0.0,0.0,0.98,0.03
4,xmeas_21,10,0.0,0.0,0.94,0.03
4,xmeas_7,10,0.01,0.01,1.02,0.03
4,xmv_10,10,9.14,0.02,0.98,0.02
6,xmeas_1,10,-99.87,0.02,0.28,0.05
6,xmeas_4,10,2.81,0.76,1.13,0.3
6,xmeas_7,10,9.97,0.04,9.86,1.23
6,xmeas_9,10,0.01,0.01,0.55,0.12
7,xmeas_4,10,-0.03,0.01,3.1,0.25
7,xmeas_7,10,0.02,0.01,4.94,0.68
7,xmeas_9,10,0.0,0.0,1.11,0.02
7,xmeas_6,10,-0.0,0.01,1.29,0.04
8,xmeas_1,10,-6.16,12.43,5.97,1.04
8,xmeas_4,10,-0.01,0.43,4.52,0.86
8,xmeas_7,10,-0.2,0.16,7.13,1.63
8,xmeas_9,10,-0.0,0.0,1.22,0.06
11,xmeas_9,10,-0.0,0.0,4.33,0.19
11,xmeas_21,10,0.0,0.0,1.12,0.03
11,xmeas_7,10,0.01,0.01,1.03,0.03
11,xmv_10,10,1.2,0.99,6.53,0.35
12,xmeas_11,10,-0.94,1.46,10.65,3.53
12,xmeas_22,10,-0.12,0.24,6.09,0.83
12,xmeas_12,10,-0.09,0.31,1.07,0.11
12,xmeas_13,10,1.28,2.31,12.67,5.25
13,xmeas_9,10,-0.0,0.0,1.17,0.12
13,xmeas_7,10,0.18,0.99,11.43,1.8
13,xmeas_6,10,-0.0,0.04,1.36,0.22
13,xmeas_17,10,0.01,0.06,1.05,0.02
14,xmeas_9,10,0.0,0.0,13.36,0.3
14,xmeas_7,10,0.01,0.01,1.04,0.03
14,xmeas_21,10,0.0,0.0,10.56,0.18
